Wall time,Step,Value
1694440903.9442816,6,25.33333396911621
1694440904.0575936,7,25.0
1694440904.62605,12,21.83333396911621
1694440904.9419377,15,21.733333587646484
1694440905.1166427,16,22.625
1694440905.4081924,19,21.578947067260742
1694440905.733418,21,21.047618865966797
1694440906.2550066,25,20.559999465942383
1694440907.7513494,37,20.760000228881836
1694440908.2846413,41,21.719999313354492
1694440908.5528073,43,22.559999465942383
1694440908.8467953,45,23.040000915527344
1694440908.961191,46,23.440000534057617
1694440909.2424948,48,24.079999923706055
1694440909.8555145,54,23.8799991607666
1694440909.943427,55,24.1200008392334
1694440910.072828,56,24.440000534057617
1694440910.2079115,57,23.8799991607666
1694440910.3275251,58,24.239999771118164
1694440911.560128,66,22.1200008392334
1694440911.94472,69,22.520000457763672
1694440912.4014654,72,23.239999771118164
1694440912.533781,73,22.8799991607666
1694440912.663769,74,23.440000534057617
1694440912.749608,75,23.280000686645508
1694440913.3023064,80,23.600000381469727
1694440914.452603,88,26.0
1694440914.6067498,89,25.639999389648438
1694440915.4855275,95,25.639999389648438
1694440916.776727,103,29.520000457763672
1694440917.4051144,106,31.360000610351562
1694440917.475697,107,31.0
1694440918.3853295,114,29.0
1694440918.7755556,117,28.559999465942383
1694440919.2474015,119,30.31999969482422
1694440920.5465846,127,28.719999313354492
1694440921.1680896,130,29.760000228881836
1694440921.3778703,131,29.0
1694440923.2949173,140,33.68000030517578
1694440924.0900288,142,43.36000061035156
1694440924.277841,143,42.720001220703125
1694440924.3857331,144,40.880001068115234
1694440925.9528084,151,45.52000045776367
1694440926.8225586,156,42.880001068115234
1694440927.2264173,158,42.08000183105469
1694440927.327845,159,39.20000076293945
1694440928.1460862,163,42.439998626708984
1694440928.9429207,168,37.599998474121094
1694440929.096243,169,37.68000030517578
1694440929.546696,172,37.119998931884766
1694440930.6950219,178,34.79999923706055
1694440930.9337296,179,36.959999084472656
1694440931.2090623,181,36.31999969482422
1694440931.8528914,184,38.560001373291016
1694440932.2905436,186,39.040000915527344
1694440932.422317,187,35.560001373291016
1694440932.697517,189,35.79999923706055
1694440933.155523,191,36.52000045776367
1694440933.3798578,192,34.91999816894531
1694440934.8007298,199,46.0
1694440936.394048,207,49.279998779296875
1694440936.614531,208,48.84000015258789
1694440936.7499905,209,48.0
1694440937.4634702,213,50.439998626708984
1694440939.909464,223,51.959999084472656
1694440940.4297073,224,52.040000915527344
1694440940.7693248,226,51.84000015258789
1694440941.6138053,230,50.63999938964844
1694440942.6353347,233,50.52000045776367
1694440942.9851055,234,54.599998474121094
1694440943.1404412,235,55.7599983215332
1694440943.8757782,238,57.439998626708984
1694440946.9510653,250,51.720001220703125
1694440948.2376242,256,51.36000061035156
1694440949.126938,259,51.15999984741211
1694440949.4938357,261,48.84000015258789
1694440949.578865,262,48.31999969482422
1694440949.8966594,264,45.400001525878906
1694440951.1119065,268,50.63999938964844
1694440951.8211217,272,46.0
1694440952.259086,274,46.880001068115234
1694440953.5654137,279,49.36000061035156
