Wall time,Step,Value
1693998184.737661,6,21.5
1693998185.2399077,7,20.571428298950195
1693998188.5078273,12,20.41666603088379
1693998191.757453,15,23.733333587646484
1693998192.4338078,16,24.5
1693998195.4628499,19,23.947368621826172
1693998197.3098078,21,23.095237731933594
1693998200.7118964,25,22.479999542236328
1693998212.7616665,37,30.68000030517578
1693998217.307863,41,29.520000457763672
1693998218.6063402,43,29.760000228881836
1693998220.1437314,45,29.959999084472656
1693998221.167346,46,30.239999771118164
1693998223.2462375,48,31.040000915527344
1693998229.3236272,54,30.040000915527344
1693998230.156213,55,30.31999969482422
1693998232.1163623,56,31.15999984741211
1693998234.202453,57,33.63999938964844
1693998235.079034,58,30.440000534057617
1693998246.2673845,66,29.200000762939453
1693998249.234854,69,29.0
1693998252.1079981,72,31.360000610351562
1693998252.9617531,73,30.600000381469727
1693998255.2052464,74,30.799999237060547
1693998259.304464,75,37.560001373291016
1693998265.4428117,80,37.08000183105469
1693998274.9530718,88,37.36000061035156
1693998275.8695393,89,37.880001068115234
1693998283.5953534,95,41.91999816894531
1693998294.3551364,103,35.880001068115234
1693998298.4358673,106,38.400001525878906
1693998300.918059,107,39.959999084472656
1693998309.0450156,114,42.52000045776367
1693998312.976611,117,44.279998779296875
1693998315.0018919,119,43.08000183105469
1693998328.5321872,127,50.040000915527344
1693998336.9256432,130,56.79999923706055
1693998337.4993534,131,55.720001220703125
1693998354.424349,140,60.91999816894531
1693998357.1006072,142,58.52000045776367
1693998358.402009,143,59.439998626708984
1693998360.2538576,144,60.79999923706055
1693998371.210492,151,61.91999816894531
1693998382.5659225,156,57.0
1693998386.6340215,158,57.720001220703125
1693998387.7112267,159,58.439998626708984
1693998395.662333,163,65.36000061035156
1693998404.6514378,168,60.7599983215332
1693998407.7176776,169,62.720001220703125
1693998413.907802,172,70.12000274658203
1693998428.5159218,178,78.5199966430664
1693998429.8694384,179,75.36000061035156
1693998435.0899904,181,76.5199966430664
1693998440.6740367,184,75.23999786376953
1693998443.4846468,186,67.91999816894531
1693998444.9359405,187,67.68000030517578
1693998446.8389022,189,65.04000091552734
1693998450.5611105,191,66.63999938964844
1693998451.7171516,192,67.08000183105469
1693998468.2997527,199,57.15999984741211
1693998484.8459377,207,51.63999938964844
1693998491.4762633,208,63.439998626708984
1693998492.862853,209,64.55999755859375
1693998503.7635193,213,69.5999984741211
1693998531.7148635,223,84.0
1693998533.5495942,224,82.91999816894531
1693998540.7955313,226,91.08000183105469
1693998552.0172925,230,92.27999877929688
1693998555.9393783,233,79.87999725341797
1693998561.8245783,234,80.4800033569336
1693998565.102666,235,85.31999969482422
1693998572.6906054,238,87.27999877929688
1693998602.8250792,250,74.76000213623047
1693998620.8736107,256,85.44000244140625
1693998632.1358416,259,89.12000274658203
1693998641.0287828,261,89.31999969482422
1693998642.5578675,262,88.31999969482422
1693998648.7537408,264,91.87999725341797
1693998659.15345,268,89.16000366210938
1693998670.1433525,272,89.44000244140625
1693998675.9013379,274,94.36000061035156
1693998692.8902311,279,102.80000305175781
1693998739.8041236,293,109.19999694824219
1693998756.544465,298,110.36000061035156
1693998758.8245027,299,111.91999816894531
1693998774.5179777,303,105.4000015258789
1693998776.885974,304,104.95999908447266
1693998793.1707592,308,110.27999877929688
1693998799.0522757,309,121.27999877929688
1693998810.720924,311,123.08000183105469
1693998821.0526068,314,120.72000122070312
1693998844.748359,319,130.16000366210938
1693998849.5116162,320,132.9600067138672
1693998852.857001,321,133.67999267578125
1693998875.0003853,326,138.75999450683594
1693998878.5024776,327,139.55999755859375
1693998882.4549172,328,138.9199981689453
1693998893.9390662,331,132.60000610351562
1693998934.930575,340,128.32000732421875
1693998944.3739026,342,124.80000305175781
1693998981.076444,348,137.0800018310547
1693999007.0946379,354,149.32000732421875
1693999009.7432342,355,145.44000244140625
1693999039.50659,361,153.32000732421875
1693999054.8397863,364,168.0399932861328
1693999079.5649753,368,170.1999969482422
1693999111.1145544,372,174.39999389648438
1693999125.919333,374,182.60000610351562
1693999149.9988256,378,189.52000427246094
1693999155.088142,379,186.83999633789062
1693999161.724169,380,197.63999938964844
1693999172.8265245,382,207.24000549316406
1693999197.294053,387,201.27999877929688
1693999222.6532936,392,187.39999389648438
1693999225.5216928,393,186.75999450683594
1693999231.0300457,394,181.0800018310547
1693999333.7397125,409,218.0800018310547
1693999373.4775486,416,233.67999267578125
1693999417.657294,422,238.75999450683594
1693999422.312057,423,234.47999572753906
1693999437.2960556,425,237.8000030517578
1693999459.9486942,427,240.16000366210938
1693999493.4115138,431,221.63999938964844
1693999543.8691792,440,206.55999755859375
1693999549.7967615,442,196.0399932861328
1693999555.4532106,443,187.60000610351562
1693999576.2394412,446,187.1999969482422
1693999617.618382,452,191.8000030517578
1693999685.743554,460,224.8000030517578
1693999688.6680331,461,218.36000061035156
1693999709.819082,464,226.0
1693999714.6094162,465,227.75999450683594
1693999786.3037305,474,258.6000061035156
1693999792.939845,475,251.75999450683594
1693999877.1325934,486,230.8800048828125
1693999892.4221604,489,222.60000610351562
1693999898.5679142,490,224.9199981689453
1693999916.89213,492,229.63999938964844
1693999934.862013,494,231.0800018310547
1694000028.3532436,508,214.8000030517578
1694000064.9150467,513,242.27999877929688
1694000085.1923883,515,257.7200012207031
1694000115.5343986,518,255.83999633789062
1694000142.5156984,520,271.4800109863281
1694000183.1747355,525,268.8800048828125
1694000197.563218,526,279.1600036621094
1694000264.8271263,532,321.0400085449219
1694000278.8755815,534,322.20001220703125
1694000285.3269382,535,320.4800109863281
1694000311.8639202,537,333.4800109863281
1694000319.716545,538,325.20001220703125
1694000348.060812,541,321.20001220703125
1694000365.3167086,543,309.2799987792969
1694000404.350966,548,293.0
1694000412.4215221,549,294.5199890136719
1694000481.5039709,558,232.32000732421875
1694000502.927351,560,242.1999969482422
1694000531.5720797,564,225.0
1694000539.0452957,565,222.83999633789062
1694000542.3923008,566,218.0399932861328
1694000569.8508465,570,218.27999877929688
