Wall time,Step,Value
1694102084.2141185,6,19.66666603088379
1694102084.2829342,7,21.0
1694102085.0879092,12,21.83333396911621
1694102085.2655737,15,20.600000381469727
1694102085.3384793,16,20.0
1694102085.635721,19,18.789474487304688
1694102085.766617,21,18.238094329833984
1694102086.24052,25,17.760000228881836
1694102087.3435671,37,20.280000686645508
1694102087.693407,41,22.15999984741211
1694102087.836094,43,22.15999984741211
1694102088.0651207,45,22.200000762939453
1694102088.1892056,46,22.920000076293945
1694102088.3498204,48,23.559999465942383
1694102088.9872072,54,23.559999465942383
1694102089.056522,55,23.760000228881836
1694102089.122249,56,23.639999389648438
1694102089.169472,57,24.0
1694102089.239652,58,24.0
1694102089.8899245,66,23.040000915527344
1694102090.082005,69,24.280000686645508
1694102090.275484,72,23.68000030517578
1694102090.3385954,73,23.520000457763672
1694102090.4364085,74,23.639999389648438
1694102090.5090442,75,23.760000228881836
1694102090.919505,80,24.68000030517578
1694102091.5844975,88,24.0
1694102091.6571653,89,23.84000015258789
1694102092.2155347,95,25.639999389648438
1694102092.8873973,103,26.719999313354492
1694102093.1410627,106,25.31999969482422
1694102093.217619,107,25.440000534057617
1694102093.7739391,114,25.639999389648438
1694102093.931348,117,25.1200008392334
1694102094.0848775,119,25.31999969482422
1694102094.767643,127,24.440000534057617
1694102095.08082,130,24.719999313354492
1694102095.1546502,131,25.239999771118164
1694102095.847594,140,27.799999237060547
1694102096.0597064,142,29.479999542236328
1694102096.1644268,143,30.200000762939453
1694102096.267279,144,30.040000915527344
1694102096.7952092,151,33.36000061035156
1694102097.4372544,156,35.439998626708984
1694102097.6696048,158,33.63999938964844
1694102097.7557023,159,34.400001525878906
1694102098.1293766,163,33.91999816894531
1694102098.6967797,168,34.040000915527344
1694102098.7758522,169,33.720001220703125
1694102099.1247694,172,31.8799991607666
1694102099.5907722,178,26.200000762939453
1694102099.6761675,179,27.0
1694102099.7940598,181,27.639999389648438
1694102099.9630911,184,28.600000381469727
1694102100.125573,186,26.1200008392334
1694102100.2067723,187,26.200000762939453
1694102100.3110664,189,26.68000030517578
1694102100.4525173,191,26.719999313354492
1694102100.5125182,192,27.0
1694102101.0127995,199,28.719999313354492
1694102101.6153843,207,28.559999465942383
1694102101.7185588,208,28.600000381469727
1694102101.8110535,209,28.959999084472656
1694102102.1119945,213,30.399999618530273
1694102102.8026667,223,26.31999969482422
1694102102.8536158,224,26.280000686645508
1694102103.010759,226,28.520000457763672
1694102103.3159688,230,27.15999984741211
1694102103.5800307,233,25.639999389648438
1694102103.6764498,234,24.719999313354492
1694102103.8279676,235,26.280000686645508
